"Individual","Mode","Choice","Airport","DistSYR","DistALB","DistNYC","DistEWR","SafteyPersonal","SafteyTrainBus","SafteyCarpool","SafteyTaxi","SafteySharedTaxi","SafteyCS","SafteySCS","PrivacyPersonal","PrivacyTrainBus","PrivacyCarpool","PrivacyTaxi","PrivacySharedTaxi","PrivacyCS","PrivacySCS","ConviniencePersonal","ConvinienceTrainBus","ConvinienceCarpool","ConvinienceTaxi","ConvinienceSharedTaxi","ConvinienceCS","ConvinienceSCS","TimePersonal","TimeTrainBus","TimeCarpool","TimeTaxi","TimeSharedTaxi","TimeCS","TimeSCS","flightsYear","daysBreturn","luggage","ownVehicle","incomeB","familySize","ageB","shuttleMaxPersonsB","payUticaSYR","payUticaALB","CostPersonal","CostTrainBus","CostCarpool","CostTaxi","CostSharedTaxi","CostCS","CostSCS","random","Saftey","Privacy","Convinience","Time"
16,"Carpool",1,2,45,77,188,177,9,9,9,9,8,9,8,10,6,8,7,7,7,6,8,8,9,8,8,8,8,"40000","60000","43000","40000","43000","40000","43000",3,25,2,0,10,4,20,15,30,40,"","",""," "," "," "," ",57,9,8,9,"43000"
16,"Personal",0,2,45,77,188,177,9,9,9,9,8,9,8,10,6,8,7,7,7,6,8,8,9,8,8,8,8,"40000","60000","43000","40000","43000","40000","43000",3,25,2,0,10,4,20,15,30,40,"","",""," "," "," "," ",57,9,10,8,"40000"
16,"TrainBus",0,2,45,77,188,177,9,9,9,9,8,9,8,10,6,8,7,7,7,6,8,8,9,8,8,8,8,"40000","60000","43000","40000","43000","40000","43000",3,25,2,0,10,4,20,15,30,40,"","",""," "," "," "," ",57,9,6,8,"60000"
16,"Taxi",0,2,45,77,188,177,9,9,9,9,8,9,8,10,6,8,7,7,7,6,8,8,9,8,8,8,8,"40000","60000","43000","40000","43000","40000","43000",3,25,2,0,10,4,20,15,30,40,"","",""," "," "," "," ",57,9,7,8,"40000"
17,"Carpool",0,3,70,80,241,228,8,10,5,8,8,7,7,10,3,3,6,3,6,3,5,7,8,7,7,7,7,"10000","13000","11000","11000","13000","11000","13000",0,0,1,1,10,2,20,50,40,40,"70","50","0","40","20","50","30",47,5,3,8,"11000"
17,"Personal",1,3,70,80,241,228,8,10,5,8,8,7,7,10,3,3,6,3,6,3,5,7,8,7,7,7,7,"10000","13000","11000","11000","13000","11000","13000",0,0,1,1,10,2,20,50,40,40,"70","50","0","40","20","50","30",47,8,10,5,"10000"
17,"TrainBus",0,3,70,80,241,228,8,10,5,8,8,7,7,10,3,3,6,3,6,3,5,7,8,7,7,7,7,"10000","13000","11000","11000","13000","11000","13000",0,0,1,1,10,2,20,50,40,40,"70","50","0","40","20","50","30",47,10,3,7,"13000"
17,"Taxi",0,3,70,80,241,228,8,10,5,8,8,7,7,10,3,3,6,3,6,3,5,7,8,7,7,7,7,"10000","13000","11000","11000","13000","11000","13000",0,0,1,1,10,2,20,50,40,40,"70","50","0","40","20","50","30",47,8,6,7,"11000"
18,"Carpool",1,3,56,92,255,242,7,8,7,6,6,6,6,10,2,2,2,2,2,2,10,7,8,8,7,9,8,"10000","13000","10000","11500","13000","11500","13000",0,NA,2,1,10,4,20,15,30,40,"20","20","40","50","30","50","40",75,7,2,8,"10000"
18,"Personal",0,3,56,92,255,242,7,8,7,6,6,6,6,10,2,2,2,2,2,2,10,7,8,8,7,9,8,"10000","13000","10000","11500","13000","11500","13000",0,NA,2,1,10,4,20,15,30,40,"20","20","40","50","30","50","40",75,7,10,10,"10000"
18,"TrainBus",0,3,56,92,255,242,7,8,7,6,6,6,6,10,2,2,2,2,2,2,10,7,8,8,7,9,8,"10000","13000","10000","11500","13000","11500","13000",0,NA,2,1,10,4,20,15,30,40,"20","20","40","50","30","50","40",75,8,2,7,"13000"
18,"Taxi",0,3,56,92,255,242,7,8,7,6,6,6,6,10,2,2,2,2,2,2,10,7,8,8,7,9,8,"10000","13000","10000","11500","13000","11500","13000",0,NA,2,1,10,4,20,15,30,40,"20","20","40","50","30","50","40",75,6,2,8,"11500"
19,"Carpool",0,3,50,98,254,248,7,6,8,8,8,7,7,4,6,5,6,6,6,5,9,2,4,3,3,5,3,"11500","23000","20000","20000","20000","20000","23000",2,2,2,1,10,1,25,5,30,50,"25","15","15","25","25","35","15",97,8,5,4,"20000"
19,"Personal",1,3,50,98,254,248,7,6,8,8,8,7,7,4,6,5,6,6,6,5,9,2,4,3,3,5,3,"11500","23000","20000","20000","20000","20000","23000",2,2,2,1,10,1,25,5,30,50,"25","15","15","25","25","35","15",97,7,4,9,"11500"
19,"TrainBus",0,3,50,98,254,248,7,6,8,8,8,7,7,4,6,5,6,6,6,5,9,2,4,3,3,5,3,"11500","23000","20000","20000","20000","20000","23000",2,2,2,1,10,1,25,5,30,50,"25","15","15","25","25","35","15",97,6,6,2,"23000"
19,"Taxi",0,3,50,98,254,248,7,6,8,8,8,7,7,4,6,5,6,6,6,5,9,2,4,3,3,5,3,"11500","23000","20000","20000","20000","20000","23000",2,2,2,1,10,1,25,5,30,50,"25","15","15","25","25","35","15",97,8,6,3,"20000"
20,"Carpool",1,2,56,94,251,245,8,7,7,4,4,6,6,10,5,5,5,5,5,5,10,2,2,2,1,2,3,"03000","04500","04500","04500","04500","04500","04500",7,8,1,1,10,4,20,5,5,5,"10","15","5","15","15","25","25",21,7,5,2,"04500"
20,"Personal",0,2,56,94,251,245,8,7,7,4,4,6,6,10,5,5,5,5,5,5,10,2,2,2,1,2,3,"03000","04500","04500","04500","04500","04500","04500",7,8,1,1,10,4,20,5,5,5,"10","15","5","15","15","25","25",21,8,10,10,"03000"
20,"TrainBus",0,2,56,94,251,245,8,7,7,4,4,6,6,10,5,5,5,5,5,5,10,2,2,2,1,2,3,"03000","04500","04500","04500","04500","04500","04500",7,8,1,1,10,4,20,5,5,5,"10","15","5","15","15","25","25",21,7,5,2,"04500"
20,"Taxi",0,2,56,94,251,245,8,7,7,4,4,6,6,10,5,5,5,5,5,5,10,2,2,2,1,2,3,"03000","04500","04500","04500","04500","04500","04500",7,8,1,1,10,4,20,5,5,5,"10","15","5","15","15","25","25",21,4,5,2,"04500"
21,"Carpool",0,1,120,30,150,145,10,10,8,7,7,7,7,10,10,4,4,4,4,4,10,8,4,9,6,4,4,"03000","10000","04500","03000","04500","03000","04500",0,8,2,1,10,5,20,50,15,10,"10","3","5","30","15","45","23",28,8,4,4,"04500"
21,"Personal",1,1,120,30,150,145,10,10,8,7,7,7,7,10,10,4,4,4,4,4,10,8,4,9,6,4,4,"03000","10000","04500","03000","04500","03000","04500",0,8,2,1,10,5,20,50,15,10,"10","3","5","30","15","45","23",28,10,10,10,"03000"
21,"TrainBus",0,1,120,30,150,145,10,10,8,7,7,7,7,10,10,4,4,4,4,4,10,8,4,9,6,4,4,"03000","10000","04500","03000","04500","03000","04500",0,8,2,1,10,5,20,50,15,10,"10","3","5","30","15","45","23",28,10,10,8,"10000"
21,"Taxi",0,1,120,30,150,145,10,10,8,7,7,7,7,10,10,4,4,4,4,4,10,8,4,9,6,4,4,"03000","10000","04500","03000","04500","03000","04500",0,8,2,1,10,5,20,50,15,10,"10","3","5","30","15","45","23",28,7,4,9,"03000"
22,"Carpool",0,1,150,10,175,175,10,10,5,8,5,8,8,10,1,5,1,1,1,1,10,1,6,10,10,10,10,"01000","03000","01000","01000","01000","01000","01000",9,5,2,1,10,5,20,50,0,10,"10","15","0","15","15","20","20",50,5,5,6,"01000"
22,"Personal",0,1,150,10,175,175,10,10,5,8,5,8,8,10,1,5,1,1,1,1,10,1,6,10,10,10,10,"01000","03000","01000","01000","01000","01000","01000",9,5,2,1,10,5,20,50,0,10,"10","15","0","15","15","20","20",50,10,10,10,"01000"
22,"TrainBus",0,1,150,10,175,175,10,10,5,8,5,8,8,10,1,5,1,1,1,1,10,1,6,10,10,10,10,"01000","03000","01000","01000","01000","01000","01000",9,5,2,1,10,5,20,50,0,10,"10","15","0","15","15","20","20",50,10,1,1,"03000"
22,"Taxi",1,1,150,10,175,175,10,10,5,8,5,8,8,10,1,5,1,1,1,1,10,1,6,10,10,10,10,"01000","03000","01000","01000","01000","01000","01000",9,5,2,1,10,5,20,50,0,10,"10","15","0","15","15","20","20",50,8,1,10,"01000"
23,"Carpool",0,3,80,200,314,330,7,6,6,5,4,5,5,10,5,5,5,5,4,5,10,5,5,5,5,5,5,"03000","10000","300000","10000","10000","10000","10000",1,2,1,1,10,3,10,5,0,0,"75","25","0","50","50","50","50",88,6,5,5,"300000"
23,"Personal",1,3,80,200,314,330,7,6,6,5,4,5,5,10,5,5,5,5,4,5,10,5,5,5,5,5,5,"03000","10000","300000","10000","10000","10000","10000",1,2,1,1,10,3,10,5,0,0,"75","25","0","50","50","50","50",88,7,10,10,"03000"
23,"TrainBus",0,3,80,200,314,330,7,6,6,5,4,5,5,10,5,5,5,5,4,5,10,5,5,5,5,5,5,"03000","10000","300000","10000","10000","10000","10000",1,2,1,1,10,3,10,5,0,0,"75","25","0","50","50","50","50",88,6,5,5,"10000"
