Individual,WhatMode,Airport,DistSYR,DistALB,DistNYC,DistEWR,SafteyPersonal,SafteyTrainBus,SafteyCarpool,SafteyTaxi,SafteySharedTaxi,SafteyCS,SafteySCS,PrivacyPersonal,PrivacyTrainBus,PrivacyCarpool,PrivacyTaxi,PrivacySharedTaxi,PrivacyCS,PrivacySCS,ConviniencePersonal,ConvinienceTrainBus,ConvinienceCarpool,ConvinienceTaxi,ConvinienceSharedTaxi,ConvinienceCS,ConvinienceSCS,TimePersonal,TimeTrainBus,TimeCarpool,TimeTaxi,TimeSharedTaxi,TimeCS,TimeSCS,flightsYear,daysBreturn,luggage,ownVehicle,incomeB,familySize,ageB,shuttleMaxPersonsB,payUticaSYR,payUticaALB,CostPersonal,CostTrainBus,CostCarpool,CostTaxi,CostSharedTaxi,CostCS,CostSCS
55,Taxi,SYR,57,93.2,256,,10,10,8,9,9,9,9,10,9,9,9,9,9,9,10,7,9,8,7,9,9,1:00:00,2:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,6,30,1,No,"< $10,000",5,18-24,15 passengers,14,14,13,20,0,60,40,70,35
56,Carpool,NYC,60,90,340,,8,10,8,8,8,9,8,10,10,8,7,7,7,7,10,6,9,7,7,8,7,4:00:00,6:00:00,4:00:00,4:00:00,4:00:00,4:00:00,4:00:00,6,30,3,Yes,"< $10,000",6,18-24,5 passengers,60,90,60$,100$,40$,150$,75$,150$,75$
57,Carpool,NYC,54,90,255,,10,10,10,10,10,10,10,10,3,3,3,3,3,3,10,4,10,8,5,9,6,6:00:00,6:00:00,6:00:00,6:00:00,6:00:00,6:00:00,6:00:00,1,,2,No,"< $10,000",5,18-24,5 passengers,20,40,200,200,200,200+,200+,200+,200+
58,Taxi,NYC,55,130,233,,9,7,7,6,4,9,3,10,6,8,7,3,5,4,9,7,8,7,6,7,6,3:45:00,4:30:00,3:45:00,4:15:00,4:15:00,4:00:00,4:15:00,4,40,3,No,"< $10,000",4,18-24,5 passengers,25,37,Gas and tolls included goes to a total 70,Early booking goes to 70,22.5,Never used uber or lyft,Never used uber and lyft,100,A spanish travel charged me 50
59,Carpool,SYR,58,94.2,257,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4:30:00,5:30:00,4:30:00,4:00:00,4:30:00,3:30:00,3:30:00,12,4,3,No,"$10,000 - $38,000",5,18-24,10 passengers,20,30,40,80,30,200,200,180,140
60,Carpool,NYC,50,100,250,,7,8,9,6,6,6,6,10,9,9,6,6,6,6,10,6,10,10,10,9,9,5:00:00,8:00:00,5:00:00,6:00:00,6:00:00,6:00:00,6:00:00,2,30,2,No,"< $10,000",1,18-24,5 passengers,20,40,200,150,100,300,250,250,125
61,Personal,NYC,40,110,170,,10,7,8,2,2,5,5,10,6,8,2,2,2,2,9,5,7,2,4,5,5,4:00:00,5:00:00,5:00:00,3:30:00,3:30:30,3:30:00,3:30:00,6,18,2,No,"$10,000 - $38,000",3,18-24,15 passengers,35,70,70,60,40,400,400,200,200
62,Taxi,NYC,60,100,250,,10,10,9,8,7,9,9,10,1,3,7,3,8,3,10,1,5,5,1,5,1,3:30:30,6:00:01,3:40:10,4:10:30,4:11:30,4:00:02,4:01:00,3,30,2,No,"< $10,000",1,18-24,5 passengers,30,45,30,70,20,300,60,350,50
63,Taxi,SYR,57.7,94,257.1,,8,8,9,7,6,7,7,9,5,7,7,6,7,7,9,7,8,7,6,8,8,0:50:00,1:00:00,0:57:00,1:00:00,0:55:00,0:55:00,0:55:00,12,30,2,No,"$10,000 - $38,000",5,18-24,15 passengers,45,80,10,20,0,70,57,120,60
64,Personal,SYR,50,97,262,,9,9,9,9,9,9,9,10,5,5,5,5,5,5,10,3,8,8,8,9,8,1:00:00,1:20:00,1:00:00,1:10:00,1:10:00,1:10:00,1:10:00,5,3,1,Yes,"$38,000 - $92,000",2,39-50,5 passengers,,,60,80,40,60,60,60,60
